CustomerID,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
121000,MR.,Lucas,White,11/14/1967,M,M,Lucas421@gmail.com,91358,2,Bachelors,Professional,Y
121001,MR.,David,Jackson,10/22/1966,S,M,David927@outlook.com,61513,3,Bachelors,Professional,N
121002,MR.,Andrew,Green,3/16/1967,M,M,Andrew128@gmail.com,61409,3,Bachelors,Professional,Y
121003,MS.,Amelia,Watson,9/2/1969,S,F,Amelia958@hotmail.com,71211,0,Bachelors,Professional,N
121004,MRS.,Bella,Nelson,3/16/1970,S,F,Bella29@hotmail.com,81185,5,Bachelors,Professional,Y
121005,MR.,Gabriel,Baker,2/21/1967,S,M,Gabriel993@gmail.com,71794,0,Bachelors,Professional,Y
121007,MR.,Mason,Wood,10/19/1965,M,M,Mason213@gmail.com,61430,3,Bachelors,Professional,Y
121008,MRS.,Mia,Edwards,12/20/1965,S,F,Mia186@gmail.com,61754,4,Bachelors,Professional,Y
121009,MR.,Joseph,Sanchez,8/27/1965,S,M,Joseph867@hotmail.com,71570,0,Bachelors,Professional,N
121010,MS.,Lila,Lopez,6/26/1965,S,F,Lila832@hotmail.com,71608,0,Bachelors,Professional,N
121011,MR.,Dylan,White,5/7/1965,M,M,Dylan581@gmail.com,61176,4,Bachelors,Professional,Y
121012,MRS.,Ivy,Baker,8/21/1969,M,F,Ivy566@gmail.com,101250,2,Bachelors,Management,Y
121013,MR.,Matthew,Turner,3/24/1970,M,M,Matthew99@outlook.com,101221,2,Bachelors,Management,Y
121014,MRS.,Julia,Walker,10/27/1969,S,F,Julia478@hotmail.com,101289,3,Bachelors,Management,N
121015,MS.,Eva,Taylor,8/27/1980,S,F,Eva214@hotmail.com,31308,0,Partial College,Skilled Manual,N
121016,MR.,Wyatt,Smith,10/25/1980,M,M,Wyatt406@gmail.com,31273,0,Partial College,Skilled Manual,Y
121017,MRS.,Julia,Miller,2/11/1946,S,F,Julia148@hotmail.com,21640,4,High School,Skilled Manual,Y
121018,MR.,Evan,Miller,4/22/1946,S,M,Evan379@hotmail.com,31004,2,Partial College,Clerical,Y
121019,MR.,Andrew,Davis,9/25/1979,S,M,Andrew901@hotmail.com,41980,0,High School,Skilled Manual,N
121020,MR.,Miles,Foster,3/27/1980,S,M,Miles433@hotmail.com,41234,0,High School,Skilled Manual,N
121021,MS.,Jocelyn,Adams,2/8/1980,S,F,Jocelyn84@hotmail.com,41459,0,Partial College,Skilled Manual,N
121022,MR.,Nicholas,Young,4/10/1980,M,M,Nicholas762@yahoo.com,41882,0,Partial College,Skilled Manual,Y
121023,MR.,Alexander,Roberts,4/25/1980,M,M,Alexander238@yahoo.com,41034,0,Partial College,Skilled Manual,Y
121024,MR.,William,Mitchell,3/8/1980,M,M,William98@hotmail.com,61017,0,Partial College,Skilled Manual,Y
121025,,Annabelle,Mitchell,7/22/1947,M,NA,Annabelle894@hotmail.com,11187,2,Partial High School,Clerical,Y
121026,MR.,Parker,Sanchez,11/7/1947,S,M,Parker541@yahoo.com,31854,2,Partial College,Clerical,N
121027,MR.,Isaac,West,4/30/1948,M,M,Isaac311@yahoo.com,31901,2,Partial College,Clerical,Y
121028,MRS.,Grace,Sanchez,9/29/1947,M,F,Grace9@outlook.com,31430,2,Partial College,Clerical,Y
121029,MR.,Brody,Lee,8/12/1948,M,M,Brody944@yahoo.com,31465,2,Partial College,Clerical,Y
